customer_id,gender,Age,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car
76,Female,42.0,20,Statistician II,Retail,High Net Worth,Yes
77,Male,30.0,79,Automation Specialist IV,Financial Services,Mass Customer,No
78,Male,35.0,37,Business Systems Development Analyst,Argiculture,Affluent Customer,No
79,Female,51.0,76,Account Executive,Manufacturing,Mass Customer,No
80,Male,42.0,11,Data Coordiator,Entertainment,Mass Customer,No
82,Female,54.0,93,Software Test Engineer III,Property,High Net Worth,No
83,Male,53.0,97,Internal Auditor,IT,Mass Customer,Yes
86,Male,31.0,75,Occupational Therapist,Health,High Net Worth,Yes
87,Male,46.0,78,Editor,Financial Services,Mass Customer,No
88,Female,54.0,41,Help Desk Operator,Property,High Net Worth,Yes
89,Male,53.0,74,Speech Pathologist,Health,Mass Customer,Yes
90,Male,35.0,76,Quality Control Specialist,Manufacturing,Mass Customer,No
91,Male,65.0,69,Senior Financial Analyst,Financial Services,Affluent Customer,Yes
92,Female,39.0,98,Recruiting Manager,Health,Mass Customer,No
93,Male,43.0,63,Project Manager,Retail,Mass Customer,Yes
94,Male,45.0,33,Civil Engineer,Manufacturing,Mass Customer,No
95,Female,59.0,67,Software Engineer III,Manufacturing,Affluent Customer,Yes
96,Male,51.0,33,Nuclear Power Engineer,Manufacturing,Mass Customer,No
97,Male,40.0,16,Community Outreach Specialist,Financial Services,Mass Customer,Yes
99,Male,21.0,97,VP Accounting,Financial Services,Mass Customer,No
100,Male,52.0,80,General Manager,Financial Services,Mass Customer,Yes
101,Male,44.0,83,Nurse Practicioner,Manufacturing,High Net Worth,No
102,Male,63.0,51,Quality Control Specialist,Manufacturing,Affluent Customer,No
103,Female,23.0,49,Product Engineer,Financial Services,Affluent Customer,Yes
104,Female,42.0,40,Automation Specialist II,Health,Mass Customer,Yes
105,Female,18.0,25,Recruiting Manager,Manufacturing,Mass Customer,No
107,Female,29.0,97,Nurse Practicioner,Financial Services,Mass Customer,Yes
112,Female,44.0,88,Marketing Manager,Retail,High Net Worth,No
114,Female,34.0,10,Teacher,Entertainment,Affluent Customer,No
116,Male,21.0,49,Assistant Professor,Manufacturing,Affluent Customer,Yes
117,Female,38.0,75,Marketing Manager,Manufacturing,Mass Customer,No
120,Male,41.0,80,Legal Assistant,Financial Services,High Net Worth,Yes
121,Male,62.0,82,Graphic Designer,Manufacturing,Mass Customer,No
122,Male,41.0,87,Quality Control Specialist,Financial Services,Mass Customer,Yes
123,Female,31.0,85,Analyst Programmer,Financial Services,High Net Worth,No
124,Female,25.0,27,Administrative Assistant II,Health,High Net Worth,Yes
125,Female,60.0,94,Computer Systems Analyst II,Property,Mass Customer,No
126,Male,27.0,53,Administrative Officer,Health,Mass Customer,Yes
127,Female,45.0,81,Compensation Analyst,Financial Services,Mass Customer,No
128,Male,42.0,73,Systems Administrator III,Property,Mass Customer,Yes
129,Male,34.0,64,Financial Advisor,Financial Services,High Net Worth,Yes
130,Male,22.0,32,Chemical Engineer,Manufacturing,Mass Customer,No
131,Female,55.0,57,Administrative Officer,Retail,High Net Worth,No
132,Female,56.0,5,Web Designer I,Manufacturing,Mass Customer,Yes
133,Male,42.0,12,VP Accounting,Financial Services,Mass Customer,Yes
134,Female,22.0,34,Legal Assistant,Telecommunications,Affluent Customer,Yes
135,Female,45.0,18,Internal Auditor,IT,Mass Customer,No
136,Male,47.0,46,Senior Developer,Manufacturing,High Net Worth,Yes
137,Male,32.0,27,Office Assistant II,Property,High Net Worth,No
138,Male,35.0,5,Recruiter,Financial Services,Affluent Customer,Yes
140,Male,26.0,9,Programmer Analyst III,Manufacturing,Mass Customer,No
141,Male,65.0,67,Teacher,Financial Services,High Net Worth,Yes
142,Male,52.0,57,Quality Engineer,Health,Affluent Customer,No
143,Male,62.0,19,Operator,Argiculture,Mass Customer,Yes
145,Male,22.0,33,Account Executive,Financial Services,Mass Customer,No
146,Male,35.0,34,Quality Control Specialist,Manufacturing,Mass Customer,No
147,Female,46.0,32,Analog Circuit Design manager,Health,Mass Customer,Yes
149,Female,25.0,41,Research Nurse,Health,Mass Customer,Yes
150,Male,36.0,6,Cost Accountant,Financial Services,Affluent Customer,No
151,Male,55.0,36,Marketing Manager,Manufacturing,Mass Customer,Yes
152,Female,39.0,5,Compensation Analyst,Financial Services,Mass Customer,No
153,Female,42.0,73,Assistant Media Planner,Entertainment,Mass Customer,Yes
155,Male,34.0,4,Quality Engineer,Manufacturing,Mass Customer,No
156,Female,40.0,23,Cost Accountant,Financial Services,Mass Customer,Yes
157,Male,45.0,97,Financial Advisor,Financial Services,Affluent Customer,No
159,Male,33.0,90,Research Nurse,Health,Affluent Customer,No
160,Male,55.0,5,Registered Nurse,Health,Mass Customer,No
162,Male,40.0,90,Nurse Practicioner,IT,Mass Customer,No
163,Female,43.0,58,Librarian,Entertainment,High Net Worth,Yes
164,Female,20.0,55,Senior Editor,Retail,Affluent Customer,Yes
165,Male,36.0,61,Administrative Officer,Argiculture,Mass Customer,Yes
166,Male,64.0,54,Structural Analysis Engineer,Manufacturing,Affluent Customer,No
169,Male,62.0,20,Data Coordiator,Telecommunications,High Net Worth,Yes
170,Male,45.0,80,Pharmacist,Health,High Net Worth,No
171,Female,49.0,62,Assistant Manager,Manufacturing,Mass Customer,No
172,Male,31.0,54,Editor,Manufacturing,Affluent Customer,Yes
173,Female,23.0,99,General Manager,Health,Affluent Customer,No
174,Female,30.0,93,Food Chemist,Health,Mass Customer,No
175,Male,44.0,36,Quality Engineer,Manufacturing,Affluent Customer,No
176,Male,28.0,39,Accountant I,Property,Mass Customer,No
177,Female,30.0,25,Professor,Financial Services,High Net Worth,No
179,Male,54.0,23,Environmental Tech,Manufacturing,High Net Worth,Yes
180,Female,48.0,16,Web Designer III,Argiculture,Affluent Customer,No
181,Female,37.0,49,Senior Editor,Manufacturing,Mass Customer,No
182,Male,27.0,99,Sales Associate,Financial Services,Affluent Customer,Yes
183,Female,22.0,7,Geologist III,Retail,Affluent Customer,No
184,Male,48.0,40,Marketing Manager,Manufacturing,High Net Worth,Yes
186,Female,46.0,46,Software Test Engineer I,Financial Services,Mass Customer,No
188,Female,44.0,54,Safety Technician II,Property,High Net Worth,Yes
189,Male,38.0,73,Safety Technician I,Financial Services,Affluent Customer,No
190,Female,41.0,42,Registered Nurse,Health,Affluent Customer,No
192,Female,41.0,2,Junior Executive,Health,Mass Customer,Yes
193,Male,55.0,13,Recruiting Manager,Manufacturing,Mass Customer,Yes
194,Female,45.0,4,Web Developer III,Financial Services,Affluent Customer,No
195,Female,61.0,34,Project Manager,Manufacturing,Mass Customer,No
196,Male,54.0,90,Programmer Analyst II,Manufacturing,High Net Worth,No
199,Female,42.0,61,Junior Executive,Health,Mass Customer,Yes
200,Male,63.0,7,Physical Therapy Assistant,Property,Affluent Customer,Yes
201,Male,54.0,45,Design Engineer,Manufacturing,Mass Customer,Yes
202,Female,56.0,38,Librarian,Entertainment,Affluent Customer,Yes
203,Male,56.0,71,Senior Quality Engineer,Argiculture,Mass Customer,Yes
204,Male,43.0,56,Editor,Financial Services,Mass Customer,No
205,Male,61.0,18,Administrative Assistant II,Financial Services,Mass Customer,Yes
208,Male,25.0,57,Office Assistant III,Property,High Net Worth,No
210,Male,56.0,50,Assistant Manager,Property,Mass Customer,No
212,Female,18.0,21,Desktop Support Technician,IT,Affluent Customer,No
213,Male,24.0,13,Actuary,Financial Services,High Net Worth,Yes
214,Male,62.0,82,Food Chemist,Health,Mass Customer,No
215,Female,45.0,37,Assistant Professor,Retail,High Net Worth,Yes
216,Female,25.0,12,Quality Engineer,Financial Services,High Net Worth,Yes
218,Female,26.0,37,Administrative Officer,Property,High Net Worth,Yes
219,Male,55.0,9,Database Administrator III,Health,Mass Customer,No
220,Female,66.0,79,Electrical Engineer,Manufacturing,High Net Worth,No
221,Female,40.0,14,Tax Accountant,Manufacturing,Mass Customer,No
222,Male,41.0,89,Clinical Specialist,Health,Mass Customer,No
224,Male,52.0,2,Compensation Analyst,Financial Services,Affluent Customer,No
225,Female,43.0,84,Pharmacist,Health,Affluent Customer,No
226,Male,42.0,96,Database Administrator IV,Manufacturing,Mass Customer,No
227,Male,46.0,99,Accountant I,Entertainment,Mass Customer,No
228,Female,34.0,59,Systems Administrator II,Manufacturing,High Net Worth,No
230,Female,65.0,74,Internal Auditor,Property,High Net Worth,No
231,Male,24.0,48,Design Engineer,Financial Services,Mass Customer,Yes
232,Female,32.0,94,Professor,Retail,Mass Customer,No
233,Male,33.0,34,Environmental Tech,Property,Mass Customer,No
234,Female,50.0,71,Chief Design Engineer,Retail,High Net Worth,No
235,Female,43.0,30,Social Worker,Health,Mass Customer,No
236,Male,65.0,79,Research Nurse,Health,Affluent Customer,No
237,Male,46.0,18,Account Coordinator,Property,High Net Worth,Yes
239,Male,27.0,62,Registered Nurse,Health,Affluent Customer,No
240,Male,30.0,49,Administrative Assistant III,IT,High Net Worth,Yes
241,Male,33.0,94,Quality Engineer,Entertainment,Mass Customer,No
242,Male,28.0,17,Nurse,Property,Affluent Customer,No
243,Female,43.0,94,Teacher,Manufacturing,High Net Worth,Yes
245,Female,18.0,6,Associate Professor,Financial Services,Affluent Customer,No
246,Female,29.0,63,Technical Writer,Manufacturing,High Net Worth,No
247,Female,37.0,62,Staff Accountant II,Financial Services,High Net Worth,Yes
248,Female,42.0,76,Clinical Specialist,Health,Affluent Customer,Yes
249,Male,27.0,65,Quality Control Specialist,IT,High Net Worth,No
252,Female,37.0,39,Account Coordinator,Property,Mass Customer,Yes
253,Female,23.0,82,Food Chemist,Health,Mass Customer,Yes
254,Female,58.0,98,Information Systems Manager,Retail,Mass Customer,No
255,Female,66.0,2,Desktop Support Technician,IT,Mass Customer,No
256,Female,45.0,16,Director of Sales,Health,High Net Worth,Yes
258,Female,28.0,24,Administrative Officer,Manufacturing,High Net Worth,No
259,Female,36.0,70,Senior Developer,Health,High Net Worth,Yes
260,Female,40.0,47,Senior Quality Engineer,Health,High Net Worth,Yes
263,Female,34.0,89,Dental Hygienist,Health,High Net Worth,No
264,Male,42.0,31,Technical Writer,Health,Mass Customer,No
265,Male,54.0,74,Sales Representative,Retail,High Net Worth,Yes
266,Female,30.0,69,Account Executive,Retail,Affluent Customer,No
268,Female,41.0,60,Chemical Engineer,Manufacturing,Mass Customer,No
269,Male,65.0,55,Nurse Practicioner,Property,Mass Customer,Yes
271,Female,29.0,51,Financial Advisor,Financial Services,Mass Customer,No
272,Female,33.0,22,Product Engineer,Retail,Mass Customer,Yes
274,Female,43.0,66,Social Worker,Health,Mass Customer,Yes
279,Female,38.0,0,Web Designer I,Manufacturing,Mass Customer,No
281,Female,47.0,51,Cost Accountant,Financial Services,High Net Worth,Yes
283,Female,29.0,34,Assistant Manager,Retail,Mass Customer,No
284,Male,34.0,38,Financial Analyst,Financial Services,High Net Worth,Yes
285,Female,42.0,3,Community Outreach Specialist,Manufacturing,Mass Customer,No
286,Male,30.0,99,Accounting Assistant II,Manufacturing,Affluent Customer,Yes
287,Female,35.0,41,Nuclear Power Engineer,Manufacturing,Affluent Customer,No
289,Female,50.0,43,Clinical Specialist,Health,High Net Worth,No
291,Female,48.0,63,Assistant Media Planner,Entertainment,Mass Customer,No
293,Male,30.0,80,Administrative Assistant III,Manufacturing,Mass Customer,Yes
298,Male,63.0,69,Engineer I,Manufacturing,High Net Worth,No
299,Female,63.0,80,Budget/Accounting Analyst I,Financial Services,Mass Customer,Yes
300,Male,63.0,88,Clinical Specialist,Health,Mass Customer,No
301,Female,39.0,54,Developer IV,Manufacturing,High Net Worth,No
303,Female,45.0,59,Assistant Professor,Argiculture,Mass Customer,Yes
304,Male,51.0,36,VP Marketing,Manufacturing,Mass Customer,Yes
305,Female,46.0,1,Financial Analyst,Financial Services,Mass Customer,No
306,Male,46.0,19,Registered Nurse,Health,High Net Worth,No
307,Male,35.0,55,Clinical Specialist,Health,Affluent Customer,Yes
308,Male,37.0,2,Database Administrator I,IT,High Net Worth,No
309,Female,45.0,53,Clinical Specialist,Health,Mass Customer,Yes
310,Female,35.0,0,Account Coordinator,Financial Services,Mass Customer,Yes
311,Female,62.0,86,Internal Auditor,Health,High Net Worth,No
312,Male,62.0,44,Desktop Support Technician,Financial Services,Affluent Customer,Yes
313,Male,32.0,70,Operator,Manufacturing,Mass Customer,Yes
314,Female,57.0,27,Marketing Assistant,Retail,High Net Worth,Yes
315,Female,62.0,67,Chief Design Engineer,Manufacturing,Affluent Customer,No
316,Female,44.0,72,Environmental Specialist,Manufacturing,Mass Customer,Yes
317,Female,46.0,26,Automation Specialist II,Entertainment,Mass Customer,Yes
318,Female,51.0,21,Programmer III,Retail,Affluent Customer,Yes
320,Male,23.0,19,Registered Nurse,Health,Mass Customer,No
322,Female,43.0,19,Research Associate,Financial Services,Mass Customer,Yes
323,Female,47.0,54,Senior Developer,Health,Mass Customer,Yes
324,Male,33.0,97,Computer Systems Analyst I,IT,Mass Customer,Yes
325,Female,48.0,98,Computer Systems Analyst I,Financial Services,Affluent Customer,Yes
326,Female,40.0,74,Help Desk Operator,Financial Services,Mass Customer,No
327,Female,51.0,10,Design Engineer,Health,Mass Customer,No
328,Female,29.0,87,Senior Developer,Manufacturing,Mass Customer,No
329,Male,35.0,25,Account Representative IV,Entertainment,High Net Worth,Yes
330,Male,61.0,78,Recruiting Manager,Manufacturing,High Net Worth,Yes
331,Male,21.0,87,Desktop Support Technician,Health,Mass Customer,Yes
332,Female,41.0,23,Registered Nurse,Health,High Net Worth,No
333,Female,54.0,25,Sales Associate,Financial Services,Affluent Customer,Yes
334,Female,21.0,71,Financial Advisor,Financial Services,Affluent Customer,Yes
337,Female,40.0,67,Statistician IV,Argiculture,High Net Worth,Yes
339,Female,40.0,56,Human Resources Manager,Health,Mass Customer,No
341,Male,43.0,10,GIS Technical Architect,Financial Services,Mass Customer,No
342,Male,33.0,40,Programmer IV,Health,High Net Worth,No
343,Female,62.0,76,Recruiter,Property,Affluent Customer,No
345,Female,31.0,74,Senior Sales Associate,Health,High Net Worth,Yes
346,Male,39.0,68,Financial Analyst,Financial Services,Mass Customer,No
347,Male,55.0,50,Marketing Manager,Financial Services,Mass Customer,No
348,Male,39.0,20,Assistant Professor,Retail,Mass Customer,Yes
350,Female,42.0,47,Clinical Specialist,Health,Mass Customer,Yes
351,Male,21.0,69,Pharmacist,Health,Mass Customer,Yes
352,Male,40.0,12,Sales Representative,Retail,Mass Customer,No
354,Female,39.0,87,Legal Assistant,Property,Mass Customer,No
355,Female,41.0,97,Database Administrator II,Retail,Mass Customer,Yes
359,Female,61.0,2,Legal Assistant,Manufacturing,Affluent Customer,Yes
360,Female,64.0,64,Staff Scientist,Property,Mass Customer,Yes
361,Female,21.0,59,Software Engineer IV,Health,Mass Customer,Yes
362,Female,45.0,47,Software Engineer IV,Financial Services,High Net Worth,Yes
363,Female,32.0,82,Project Manager,Retail,Mass Customer,Yes
364,Female,43.0,96,Database Administrator III,Financial Services,Affluent Customer,No
365,Female,43.0,98,VP Quality Control,Property,High Net Worth,No
366,Female,66.0,7,Librarian,Entertainment,High Net Worth,No
367,Female,35.0,93,Programmer II,Manufacturing,Mass Customer,Yes
369,Male,28.0,19,Actuary,Financial Services,Mass Customer,Yes
371,Male,65.0,7,Systems Administrator III,Financial Services,Mass Customer,No
372,Female,32.0,19,Graphic Designer,Property,Affluent Customer,Yes
373,Female,19.0,95,Structural Analysis Engineer,Health,High Net Worth,Yes
374,Male,28.0,81,Senior Financial Analyst,Financial Services,Mass Customer,Yes
375,Male,43.0,13,Automation Specialist II,Manufacturing,Mass Customer,Yes
376,Female,53.0,60,Financial Advisor,Financial Services,Mass Customer,Yes
377,Male,21.0,65,Staff Scientist,Argiculture,Mass Customer,No
378,Female,46.0,98,Senior Developer,Retail,Mass Customer,No
380,Female,64.0,66,Structural Engineer,Property,Mass Customer,No
382,Male,34.0,68,Research Nurse,Health,Mass Customer,Yes
385,Male,53.0,69,Project Manager,Health,High Net Worth,No
386,Female,29.0,63,Senior Quality Engineer,Argiculture,Mass Customer,No
387,Male,43.0,34,Administrative Officer,Financial Services,Mass Customer,No
389,Female,45.0,97,Help Desk Operator,Entertainment,Affluent Customer,Yes
390,Male,22.0,83,Programmer Analyst II,Health,Affluent Customer,No
392,Male,41.0,38,Safety Technician I,Property,Mass Customer,No
393,Male,65.0,35,Associate Professor,Manufacturing,Mass Customer,Yes
394,Female,42.0,70,Legal Assistant,Health,High Net Worth,Yes
395,Male,43.0,28,Data Coordiator,Retail,High Net Worth,Yes
396,Female,53.0,98,Systems Administrator III,Telecommunications,High Net Worth,Yes
397,Female,38.0,86,Paralegal,Financial Services,Affluent Customer,Yes
399,Male,43.0,26,Engineer III,Manufacturing,Affluent Customer,Yes
400,Female,58.0,86,Financial Analyst,Financial Services,Mass Customer,No
401,Female,33.0,56,Assistant Professor,Retail,Mass Customer,No
402,Male,43.0,9,Desktop Support Technician,Retail,Affluent Customer,No
404,Male,24.0,92,Geologist I,Financial Services,Affluent Customer,Yes
406,Female,32.0,58,Financial Analyst,Financial Services,High Net Worth,No
408,Male,28.0,79,Senior Financial Analyst,Financial Services,Affluent Customer,No
409,Female,42.0,84,Executive Secretary,Health,Mass Customer,Yes
411,Female,43.0,84,Director of Sales,Financial Services,High Net Worth,No
414,Male,43.0,12,Social Worker,Health,High Net Worth,No
415,Female,65.0,20,Senior Financial Analyst,Financial Services,Affluent Customer,Yes
417,Female,49.0,37,Biostatistician IV,Argiculture,Mass Customer,No
419,Female,39.0,34,VP Marketing,Manufacturing,Affluent Customer,No
420,Male,61.0,93,Help Desk Operator,Entertainment,High Net Worth,No
421,Female,21.0,26,Sales Representative,Retail,Mass Customer,Yes
425,Female,66.0,60,Sales Representative,Retail,Mass Customer,Yes
426,Female,48.0,10,Nuclear Power Engineer,Manufacturing,Affluent Customer,No
427,Male,23.0,77,Assistant Media Planner,Entertainment,Mass Customer,Yes
428,Female,43.0,0,Structural Engineer,Health,High Net Worth,Yes
429,Female,41.0,7,Community Outreach Specialist,IT,High Net Worth,Yes
430,Female,47.0,46,Paralegal,Financial Services,High Net Worth,Yes
431,Male,64.0,8,Research Nurse,Health,Affluent Customer,Yes
432,Male,30.0,83,Nuclear Power Engineer,Manufacturing,Affluent Customer,Yes
433,Male,56.0,94,Statistician II,Property,Affluent Customer,No
435,Male,20.0,5,GIS Technical Architect,Telecommunications,Mass Customer,No
436,Male,62.0,75,Internal Auditor,IT,Mass Customer,No
437,Male,43.0,24,Systems Administrator III,Manufacturing,Affluent Customer,Yes
438,Male,30.0,25,Internal Auditor,Property,High Net Worth,Yes
440,Female,42.0,46,Business Systems Development Analyst,Telecommunications,Mass Customer,No
444,Female,53.0,32,Staff Scientist,Manufacturing,Mass Customer,Yes
445,Male,35.0,91,Executive Secretary,Financial Services,Mass Customer,No
446,Female,41.0,73,Tax Accountant,IT,Affluent Customer,Yes
447,Female,18.0,98,Help Desk Technician,Argiculture,Mass Customer,Yes
448,Female,25.0,34,Software Engineer III,IT,High Net Worth,No
449,Female,45.0,74,VP Product Management,Manufacturing,High Net Worth,Yes
450,Female,45.0,5,Structural Analysis Engineer,Entertainment,Mass Customer,Yes
452,Female,60.0,22,Account Coordinator,Property,Mass Customer,Yes
455,Male,28.0,97,Civil Engineer,Manufacturing,Mass Customer,Yes
456,Male,44.0,47,Automation Specialist I,Manufacturing,Affluent Customer,Yes
457,Female,39.0,70,Recruiting Manager,Financial Services,High Net Worth,Yes
458,Male,51.0,57,Account Representative IV,Manufacturing,Affluent Customer,Yes
459,Female,33.0,88,Civil Engineer,Manufacturing,Mass Customer,Yes
461,Female,40.0,19,Social Worker,Health,Mass Customer,Yes
463,Female,58.0,9,Senior Cost Accountant,Financial Services,Mass Customer,Yes
465,Female,44.0,54,Developer III,Financial Services,Affluent Customer,Yes
467,Male,66.0,51,Human Resources Assistant I,Property,Affluent Customer,No
468,Female,46.0,11,Software Test Engineer I,Property,High Net Worth,Yes
469,Male,24.0,91,Actuary,Financial Services,High Net Worth,Yes
471,Female,64.0,82,GIS Technical Architect,Financial Services,Affluent Customer,No
472,Female,29.0,38,Internal Auditor,Financial Services,Mass Customer,Yes
473,Male,43.0,2,Junior Executive,Health,Mass Customer,Yes
474,Female,37.0,86,Geologist IV,Entertainment,Affluent Customer,No
477,Female,59.0,32,Media Manager II,Financial Services,High Net Worth,Yes
481,Female,30.0,68,Programmer IV,Argiculture,Mass Customer,No
483,Male,47.0,35,Sales Representative,Retail,Affluent Customer,No
484,Male,46.0,64,Programmer IV,Manufacturing,Mass Customer,No
485,Female,45.0,23,Statistician III,Manufacturing,High Net Worth,No
486,Female,64.0,0,Technical Writer,Manufacturing,Affluent Customer,Yes
487,Female,40.0,70,Food Chemist,Health,Mass Customer,No
488,Female,39.0,24,Help Desk Operator,Property,Mass Customer,Yes
489,Female,49.0,18,Senior Editor,Retail,Mass Customer,Yes
491,Male,44.0,45,Speech Pathologist,Property,Affluent Customer,Yes
492,Male,44.0,54,Environmental Tech,Financial Services,Mass Customer,No
493,Female,59.0,83,Electrical Engineer,Manufacturing,Mass Customer,Yes
495,Male,61.0,91,VP Accounting,Financial Services,Mass Customer,Yes
496,Female,44.0,25,Engineer II,Financial Services,Affluent Customer,Yes
498,Female,42.0,58,VP Sales,Manufacturing,High Net Worth,Yes
499,Male,59.0,39,Budget/Accounting Analyst III,Financial Services,Affluent Customer,No
500,Male,28.0,19,Recruiting Manager,Retail,Affluent Customer,Yes
502,Female,49.0,39,Teacher,Manufacturing,Mass Customer,No
503,Male,30.0,87,Dental Hygienist,Health,Affluent Customer,Yes
504,Male,25.0,93,Environmental Tech,Manufacturing,High Net Worth,Yes
506,Female,35.0,43,Health Coach II,Retail,Mass Customer,No
508,Female,49.0,94,Project Manager,Property,Mass Customer,Yes
509,Male,40.0,64,Developer II,Financial Services,Affluent Customer,Yes
511,Female,37.0,92,Dental Hygienist,Health,High Net Worth,No
512,Male,65.0,76,VP Accounting,Financial Services,Mass Customer,No
515,Female,30.0,55,Help Desk Operator,IT,High Net Worth,No
516,Male,62.0,23,Environmental Tech,Financial Services,Mass Customer,No
517,Female,34.0,73,Chief Design Engineer,Property,Mass Customer,Yes
518,Male,29.0,60,Database Administrator IV,Retail,Mass Customer,Yes
520,Female,55.0,66,VP Quality Control,Financial Services,Affluent Customer,Yes
521,Female,41.0,29,Help Desk Operator,Health,High Net Worth,No
523,Female,45.0,44,Senior Financial Analyst,Financial Services,Affluent Customer,Yes
524,Female,57.0,16,Nurse,Retail,Mass Customer,No
525,Male,40.0,64,Chemical Engineer,Manufacturing,Mass Customer,Yes
527,Female,29.0,81,VP Quality Control,Financial Services,Mass Customer,Yes
528,Female,41.0,10,Registered Nurse,Health,Mass Customer,No
529,Male,30.0,18,Operator,Retail,Affluent Customer,Yes
530,Male,45.0,2,Recruiter,Manufacturing,Mass Customer,No
531,Female,26.0,94,Senior Cost Accountant,Financial Services,High Net Worth,No
532,Female,59.0,25,Community Outreach Specialist,Financial Services,Affluent Customer,No
533,Male,38.0,40,Database Administrator III,Retail,Mass Customer,No
536,Female,61.0,64,Recruiting Manager,Manufacturing,Affluent Customer,No
537,Female,31.0,16,Structural Engineer,Entertainment,High Net Worth,No
538,Female,63.0,33,Chemical Engineer,Manufacturing,Mass Customer,Yes
540,Female,19.0,80,Chemical Engineer,Manufacturing,Mass Customer,No
542,Female,53.0,78,Accountant III,Manufacturing,Mass Customer,No
543,Male,46.0,9,Account Coordinator,Retail,Affluent Customer,Yes
544,Male,29.0,51,Structural Engineer,Manufacturing,High Net Worth,Yes
545,Female,42.0,43,Project Manager,Health,Mass Customer,Yes
546,Female,39.0,80,Information Systems Manager,Health,Mass Customer,Yes
547,Female,24.0,22,Sales Associate,Health,Mass Customer,No
549,Male,34.0,84,Human Resources Manager,Retail,Mass Customer,Yes
551,Female,32.0,8,Structural Engineer,Financial Services,High Net Worth,No
552,Male,41.0,66,Geological Engineer,Manufacturing,High Net Worth,Yes
553,Female,41.0,62,Senior Sales Associate,Argiculture,Affluent Customer,Yes
554,Female,65.0,33,Graphic Designer,Health,Mass Customer,Yes
555,Male,49.0,99,Junior Executive,Property,Mass Customer,No
559,Female,32.0,39,Payment Adjustment Coordinator,Retail,High Net Worth,Yes
560,Female,66.0,1,Social Worker,Health,Affluent Customer,No
563,Male,45.0,25,Accounting Assistant II,IT,Mass Customer,Yes
